ID	NAME	KEYWORDS
573	pPsA-i-alpha-gal	"galactosidase marker,neomycin resistance,expression vector,psA promoter"
578	pEcmA0-i-alpha-gal & pEcmA0-Ugus	"galactosidase marker,glucoronidase marker,expression vector,ecmAO promoter"
635	pTX-MKC2	"FLAG tag,neomycin resistance,expression vector,act15 promoter"
640	pDDB_G0268888-REMI	"blasticidin resistance,REMI vector"
641	pDDB_G0269760-REMI	"blasticidin resistance,REMI vector"
642	pDDB_G0270786-REMI	"blasticidin resistance,REMI vector"
643	pDDB_G0272885-DDB_G0274011-REMI	"blasticidin resistance,REMI vector"
644	pDDB_G0273131-DDB_G0273639-REMI	"blasticidin resistance,REMI vector"
645	pDDB_G0274689-REMI	"blasticidin resistance,REMI vector"
646	pDDB_G0275467-REMI	"blasticidin resistance,REMI vector"
647	pDDB_G0277103-REMI	"blasticidin resistance,REMI vector"
648	pDDB_G0277545-REMI	"blasticidin resistance,REMI vector"
649	pDDB_G0280375-REMI	"blasticidin resistance,REMI vector"
650	pDDB_G0281057-REMI	"blasticidin resistance,REMI vector"
651	pDDB_G0281769-REMI	"blasticidin resistance,REMI vector"
652	pDDB_G0281975-REMI	"blasticidin resistance,REMI vector"
653	pDDB_G0282491-REMI	"blasticidin resistance,REMI vector"
654	pDDB_G0286967-REMI	"blasticidin resistance,REMI vector"
655	pDDB_G0287895/DDB_G0287897-REMI	
656	pDDB_G0288419-REMI	"blasticidin resistance,REMI vector"
657	pDDB_G0288419-REMI	"blasticidin resistance,REMI vector"
658	pDDB_G0289805-REMI	
659	pDDB_G0293982-REMI	"blasticidin resistance,REMI vector"
660	pDDB_G0305538-REMI	"blasticidin resistance,REMI vector"
533	pDM326	"blasticidin resistance,expression vector,extrachromosomal vector,act6 promoter,act15 promoter"
534	pDM358	"hygromycin resistance,expression vector,extrachromosomal vector,act6 promoter,act15 promoter"
541	pDM324	"RFP marker,neomycin resistance,expression vector,extrachromosomal vector,act6 promoter,act15 promoter"
544	pDM352	"RFP marker,neomycin resistance,expression vector,extrachromosomal vector,gateway vector,act6 promoter,act15 promoter"
545	pDM354	"RFP marker,neomycin resistance,expression vector,extrachromosomal vector,gateway vector,act6 promoter,act15 promoter"
546	pDM353	"GFP marker,neomycin resistance,expression vector,extrachromosomal vector,gateway vector,act6 promoter,act15 promoter"
547	pDM448	"GFP marker,hygromycin resistance,expression vector,extrachromosomal vector,gateway vector,act6 promoter,act15 promoter"
		
		
558	pDM413	"RFP marker,expression vector,extrachromosomal vector,gateway vector,act15 promoter"
563	pDM193	"GST tag,extrachromosomal vector"
566	pDM313	"GFP marker,expression vector,extrachromosomal vector"
574	pPsA-i-alpha-gal & pPSA-Ugus	"galactosidase marker,glucoronidase marker,neomycin resistance,expression vector,psA promoter"
581	pEcm0-i-alpha-gal & pEcm0-Ugus	"galactosidase marker,glucoronidase marker,expression vector,ecmO promoter"
582	pTagB/GFP(S65T)	"GFP marker,neomycin resistance,expression vector"
583	pCotB/GFP(S65T)	"GFP marker,neomycin resistance,expression vector,cotB promoter"
590	pLoxNeoII	"neomycin resistance,cre-loxP vector"
598	pGFP-2FYVE	"GFP marker,neomycin resistance,expression vector"
634	pTX-MKA1	"GFP marker,neomycin resistance,expression vector,act15 promoter"
636	pTX-MKA2	"FLAG tag,neomycin resistance,expression vector,act15 promoter"
676	pDDB_G0278171-REMI	"blasticidin resistance,REMI vector"
703	pDDB_G0274267-REMI	"blasticidin resistance,REMI vector"
704	pDDB_G0277431-REMI	"blasticidin resistance,REMI vector"
705	pDDB_G0272965-REMI	"blasticidin resistance,REMI vector"
706	pDDB_G0272670-REMI	"blasticidin resistance,REMI vector"
707	pDDB_G0295493-REMI	"blasticidin resistance,REMI vector"
708	pDDB_G0275745-REMI	"blasticidin resistance,REMI vector"
709	pDDB_G0289231-REMI	"blasticidin resistance,REMI vector"
710	pDDB_G0275241-REMI	"blasticidin resistance,REMI vector"
580	pEcm0-i-alpha-gal	"galactosidase marker,expression vector,ecmO promoter"
585	pDXA-YFP-MCS1-PKA-Fret	"YFP marker,neomycin resistance,expression vector,act15 promoter"
279	pA15-BSR-aarA-KO	"blasticidin resistance,knockout vector,act15 promoter"
592	pTasBloxP-KO	"neomycin resistance,knockout vector,cre-loxP vector"
593	pTasBexp	expression vector
604	pDEX-Cre-hygR	"hygromycin resistance,expression vector,cre-loxP vector,act15 promoter"
605	pDchtC	"knockout vector,cre-loxP vector"
606	pTagB/lacZ	"galactosidase marker,neomycin resistance,expression vector"
621	pDBsr2a-cTAP	"TAP tag,expression vector,act15 promoter"
632	pTX-MKB1	"GFP marker,neomycin resistance,expression vector,act15 promoter"
711	pDDB_G0284847-REMI	"blasticidin resistance,REMI vector"
712	pDDB_G0273315-REMI	"blasticidin resistance,REMI vector"
713	pDDB_G0280943-REMI	"blasticidin resistance,REMI vector"
714	pDDB_G0292168-REMI	"blasticidin resistance,REMI vector"
715	pDDB_G0278457-REMI	"blasticidin resistance,REMI vector"
716	pDDB_G0289791-REMI	"blasticidin resistance,REMI vector"
717	pDDB_G0291824-REMI	"blasticidin resistance,REMI vector"
718	pAct15/SodA-myc	"Myc tag,expression vector,act15 promoter"
719	pItpk1-OE	"neomycin resistance,expression vector"
720	pIpkA1-OE	"neomycin resistance,expression vector"
722	pDDB_G0276269-REMI	"blasticidin resistance,REMI vector"
723	pDDB_G0291350-REMI	"blasticidin resistance,REMI vector"
724	pDDB_G0267692-REMI	"blasticidin resistance,REMI vector"
725	pDDB_G0285747-REMI	"blasticidin resistance,REMI vector"
726	pDDB_G0290347-REMI	"blasticidin resistance,REMI vector"
727	pDDB_G0279355-REMI	"blasticidin resistance,REMI vector"
728	pDDB_G0277487-REMI	"blasticidin resistance,REMI vector"
535	pDM317	"GFP marker,neomycin resistance,expression vector,extrachromosomal vector,act6 promoter,act15 promoter"
536	pDM318	"RFP marker,neomycin resistance,expression vector,extrachromosomal vector,act6 promoter,act15 promoter"
538	pDM320	"FLAG tag,neomycin resistance,expression vector,extrachromosomal vector,act6 promoter,act15 promoter"
540	pDM323	"GFP marker,neomycin resistance,expression vector,extrachromosomal vector,act6 promoter,act15 promoter"
543	pDM351	"GFP marker,neomycin resistance,expression vector,extrachromosomal vector,gateway vector,act6 promoter,act15 promoter"
548	pDM449	"RFP marker,hygromycin resistance,expression vector,extrachromosomal vector,gateway vector,act6 promoter,act15 promoter"
		
		
549	pDM451	"RFP marker,hygromycin resistance,expression vector,extrachromosomal vector,gateway vector,act6 promoter,act15 promoter"
556	pDM410	"GFP marker,expression vector,extrachromosomal vector,gateway vector,act15 promoter"
559	pDM412	"GFP marker,expression vector,extrachromosomal vector,gateway vector,act15 promoter"
570	pA15BSR-pic20HmcsR	"blasticidin resistance,act15 promoter"
575	pEcmB-i-alpha-gal	"galactosidase marker,expression vector,ecmB promoter"
576	pEcmA0-labile-S65T-GFP	"GFP marker,expression vector,ecmA promoter"
577	pEcmA0-i-alpha-gal	"galactosidase marker,expression vector,ecmA promoter"
579	pEcm0-labile-S65T-GFP	"GFP marker,neomycin resistance,expression vector,ecmO promoter"
187	pDE104	"hygromycin resistance,act15 promoter"
599	pTasB:Gal	"galactosidase marker,neomycin resistance,expression vector"
619	pDneo2a-GFP-TAP	"GFP marker,TAP tag,neomycin resistance,expression vector,act15 promoter"
623	pDBsr2a-TAP-6xMyc	"Myc tag,TAP tag,expression vector,act15 promoter"
625	pDneo2a-mRFP	"HA tag,expression vector,act15 promoter"
629	pDBsrXP-GFP	"GFP marker,neomycin resistance,expression vector,act15 promoter"
661	pMidA-KO 	"blasticidin resistance,knockout vector"
729	pDDB_G0286031-REMI	
730	pDDB_G0287877-REMI	"blasticidin resistance,REMI vector"
731	pDDB_G0288007-REMI	"blasticidin resistance,REMI vector"
732	pDDB_G0278235-REMI	"blasticidin resistance,REMI vector"
733	pDDB_G0289503-REMI	"blasticidin resistance,REMI vector"
734	pDDB_G0290481-REMI	
735	pDDB_G0291263-REMI	"blasticidin resistance,REMI vector"
633	pTX-MKC1	"GFP marker,neomycin resistance,expression vector,act15 promoter"
589	pLoxNeoI	"neomycin resistance,cre-loxP vector"
591	pTasAloxP-KO	"knockout vector,cre-loxP vector"
602	pHYG-tgrC1-KO 	"hygromycin resistance,knockout vector"
721	PH-PLC&#948;1-GFP	"neomycin resistance,expression vector"
736	pDDB_G0285859-REMI	"blasticidin resistance,REMI vector"
737	pDDB_G0295493-REMI	"blasticidin resistance,REMI vector"
738	pDDB_G0295493-REMI	"blasticidin resistance,REMI vector"
739	pDDB_G0267380-REMI	"blasticidin resistance,REMI vector"
740	pDDB_G0295493-REMI	"blasticidin resistance,REMI vector"
741	pDDB_G0267938-REMI	"blasticidin resistance,REMI vector"
742	pDDB_G0273059-DDB_G0273737-REMI	"blasticidin resistance,REMI vector"
743	pDDB_G0270652-REMI	"blasticidin resistance,REMI vector"
744	pDDB_G0269288-REMI	
745	pDDB_G0291800-REMI	"blasticidin resistance,REMI vector"
746	pDDB_G0270470-REMI	"blasticidin resistance,REMI vector"
747	pDDB_G0270724-REMI	"blasticidin resistance,REMI vector"
748	pDDB_G0285747-REMI	"blasticidin resistance,REMI vector"
749	pDDB_G0278945-REMI	"blasticidin resistance,REMI vector"
778	pTgrB1-hyg	"hygromycin resistance,knockout vector"
779	pTgrB1/AX4:DEST- bsR	"blasticidin resistance,cre-loxP vector,gateway vector"
780	pTgrB1/AX4:tgrB1/AX4-bsR	"blasticidin resistance,cre-loxP vector"
781	pTgrB1/AX4]:tgrB1/QS4-bsR	"blasticidin resistance,cre-loxP vector"
782	pTgrB1/AX4:tgrB1/QS31-bsR	"blasticidin resistance,cre-loxP vector"
783	pTgrB1/AX4:tgrB1/QS38-bsR	"blasticidin resistance,cre-loxP vector"
784	pTgrB1/AX4:tgrB1/QS45-bsR	"blasticidin resistance,cre-loxP vector"
785	pTgrC1/AX4]:DEST- bsR	"blasticidin resistance,cre-loxP vector,gateway vector"
553	pDM328	"RFP marker,expression vector,extrachromosomal vector,act15 promoter"
555	pDM329	"GFP marker,expression vector,extrachromosomal vector,act15 promoter"
569	pA15BSR-pic20HmcsF	"blasticidin resistance,act15 promoter"
600	pDneo2a-6xMYC	"Myc tag,expression vector,act15 promoter"
611	pDneo2a-TAP-GFP	"GFP marker,TAP tag,neomycin resistance,expression vector,act15 promoter"
614	pDneo2a-6xMyc	"Myc tag,expression vector,act15 promoter"
620	pDBsr2a-nTAP	"TAP tag,expression vector,act15 promoter"
622	pDBsr2a-6xMyc-TAP	"Myc tag,TAP tag,expression vector,act15 promoter"
624	pDneo2a-3xFLAG	"FLAG tag,expression vector,act15 promoter"
626	pDBsrXP-3xHA	
627	pDBsrXP-6xMyc	"Myc tag,expression vector,act15 promoter"
639	pEcmAO-RFPmars	"RFP marker,neomycin resistance,expression vector,act6 promoter,ecmAO promoter"
677	pDDB_G0285859-REMI	"blasticidin resistance,REMI vector"
678	pDDB_G0268222-REMI	"blasticidin resistance,REMI vector"
679	pDDB_G0291464-REMI	"blasticidin resistance,REMI vector"
680	pDDB_G0284159-REMI	"blasticidin resistance,REMI vector"
681	pDDB_G0293662-REMI	"blasticidin resistance,REMI vector"
682	pDDB_G0278663-REMI	"blasticidin resistance,REMI vector"
683	pDDB_G0278663-REMI	"blasticidin resistance,REMI vector"
684	pDDB_G0278353-REMI	"blasticidin resistance,REMI vector"
685	pDDB_G0279135-REMI	"blasticidin resistance,REMI vector"
686	pDDB_G0282113-REMI	"blasticidin resistance,REMI vector"
687	pDDB_G0270666-REMI	"blasticidin resistance,REMI vector"
688	pDDB_G0269834-REMI	"blasticidin resistance,REMI vector"
689	pDDB_G0287421_RTE-REMI	"blasticidin resistance,REMI vector"
690	pDDB_G0269306-REMI	"blasticidin resistance,REMI vector"
691	pDDB_G0287515-REMI	"blasticidin resistance,REMI vector"
692	pDDB_G0277951-REMI	"blasticidin resistance,REMI vector"
693	pDDB_G0279783-REMI	"blasticidin resistance,REMI vector"
694	pDDB_G0269150-REMI	"blasticidin resistance,REMI vector"
695	pDDB_G0286363-REMI	"blasticidin resistance,REMI vector"
696	pDDB_G0287659-REMI	"blasticidin resistance,REMI vector"
552	pDM327	"GFP marker,expression vector,extrachromosomal vector,act15 promoter"
554	pDM330	"RFP marker,expression vector,extrachromosomal vector,act15 promoter"
561	pGFP (1-21)	"GFP marker,expression vector,extrachromosomal vector"
564	pDM229	"TAP tag,extrachromosomal vector"
565	pDM276	"TAP tag,extrachromosomal vector"
584	pEcmA/GFP(S65T)	"GFP marker,neomycin resistance,expression vector,ecmA promoter"
312	pax1-	"knockout vector,blasticidin resistance"
118	pVEII	"expression vector,discoidin promoter,neomycin resistance,act15 promoter"
601	pBSR-tgrB1-KO 	"blasticidin resistance,knockout vector,cre-loxP vector"
608	pDneo2a-nTAP	"TAP tag,expression vector,act6 promoter,act15 promoter"
609	pDneo2a-TAP-6xMyc	"Myc tag,TAP tag,expression vector,act6 promoter,act15 promoter"
610	pDneo2a-TAP-3xHA	"HA tag,TAP tag,expression vector,act15 promoter"
612	pDneo2a	act15 promoter
613	pDneo2a-GFP	"GFP marker,neomycin resistance,expression vector,act15 promoter"
615	pDneo2a-3xHA	"HA tag,expression vector,act15 promoter"
616	pDneo2a-cTAP	"TAP tag,expression vector,act15 promoter"
617	pDneo2a-3xHA-TAP	"HA tag,TAP tag,expression vector,act15 promoter"
618	pDneo2a-6xMyc-TAP	"Myc tag,TAP tag,act15 promoter"
638	pEcmB-RFPmars	"FLAG tag,neomycin resistance,expression vector,act15 promoter"
697	pDDB_G0270586-REMI	"blasticidin resistance,REMI vector"
698	pDDB_G0283535-REMI	"blasticidin resistance,REMI vector"
699	pDDB_G0271808-REMI	"blasticidin resistance,REMI vector"
700	pDDB_G0277245-REMI	"blasticidin resistance,REMI vector"
701	pDDB_G0273017-REMI	
702	pDDB_G0290535-REMI	"blasticidin resistance,REMI vector"
537	pDM314	"GST tag,neomycin resistance,expression vector,extrachromosomal vector,act6 promoter,act15 promoter"
539	pDM315	"TAP tag,neomycin resistance,expression vector,extrachromosomal vector,act6 promoter,act15 promoter"
550	pDM450	"GFP marker,hygromycin resistance,expression vector,extrachromosomal vector,gateway vector,act6 promoter,act15 promoter"
		
		
551	pDM344	"expression vector,extrachromosomal vector,act15 promoter"
587	pRccA	"blasticidin resistance,REMI vector,knockout vector"
588	pchtC	cre-loxP vector
596	pPRX-GFP	"GFP marker,neomycin resistance,expression vector,act15 promoter"
597	pTopA-GFP	"GFP marker,neomycin resistance,expression vector"
603	pTagB-BsR	"blasticidin resistance,REMI vector,knockout vector"
630	pDBsrXP-mRFPmars	"RFP marker,expression vector,act15 promoter"
631	pA15-500-myc	"Myc tag,expression vector,act15 promoter"
637	pTX-MKB2	"FLAG tag,neomycin resistance,expression vector,act15 promoter"
662	pDDB_G0278171-REMI	"blasticidin resistance,REMI vector"
663	pDDB_G0285859-REMI	"blasticidin resistance,REMI vector"
664	pDDB_G0268222-REMI	"blasticidin resistance,REMI vector"
665	pDDB_G0291464-REMI	"blasticidin resistance,REMI vector"
666	pDDB_G0284159-REMI	"blasticidin resistance,REMI vector"
667	pDDB_G0293662-REMI	"blasticidin resistance,REMI vector"
668	pDDB_G0278663-REMI	"blasticidin resistance,REMI vector"
669	pDDB_G0278663-REMI	"blasticidin resistance,REMI vector"
670	pDDB_G0278353-REMI	"blasticidin resistance,REMI vector"
671	pDDB_G0279135-REMI	"blasticidin resistance,REMI vector"
672	pDDB_G0282113-REMI	"blasticidin resistance,REMI vector"
673	pDDB_G0270666-REMI	"blasticidin resistance,REMI vector"
674	pDDB_G0269834-REMI	"blasticidin resistance,REMI vector"
675	pDDB_G0287421_RTE-REMI	"blasticidin resistance,REMI vector"
801	pGFP-pgkA	
803	pGFP-Tkt	
804	pPK6	"YFP,neomycin,expression vector,act15 promoter"
805	pLP122	"GFP,hygromycin,expression vector,extrachromosomal vector."
335	pDV-NTAP-CYFP	"YFP marker,TAP tag,expression vector,act15 promoter"
815	pDM295	"luciferase marker,neomycin resistance,expression vector,extrachromosomal vector,tet on/off vector,act6 promoter,act15 promoter"
817	pAmpAFB-	"blasticidin resistance,knockout vector,cre-loxP vector"
820	pGSTCAST	"blasticidin resistance,expression vector,GST tag"
821	pGSTGBD	"blasticidin resistance,expression vector,GST tag"
826	pNdm-mRFP	"blasticidin resistance,expression vector,RFP marker,cre-loxP vector"
818	pGFPsma	"neomycin resistance,expression vector,GFP marker,act15 promoter,extrachromosomal vector"
823	pLMBD2B-mRFP	"blasticidin resistance,expression vector,RFP marker,cre-loxP vector"
824	pAmpA-mRFP 	"blasticidin resistance,expression vector,RFP marker,cre-loxP vector,extrachromosomal vector"
825	pNdm-ko	"blasticidin resistance,knockout vector,REMI vector"
829	pSma-mRFP	"blasticidin resistance,expression vector,RFP marker,cre-loxP vector,extrachromosomal vector"
786	pTgrC1/AX4:tgrC1AX4-bsR	
787	pTgrC1/AX4:tgrC1QS4-bsR	
788	pTgrC1/AX4:tgrC1QS31-bsR	"blasticidin resistance,cre-loxP vector,gateway vector"
789	pTgrC1/AX4:tgrC1QS38-bsR	"blasticidin,cre-loxP vector,gateway vector"
790	pTgrC1/AX4:tgrC1QS45-bsR	
791	pPyr56-KO	
792	pTgrB1/tgrC1-KO-pyr56+	knockout vector
793	AX4-tgrB1/tgrC1	expression vector
794	pQS4-tgrB1/tgrC1	expression vector
795	pQS31-tgrB1/tgrC1	expression vector
796	pQS38-tgrB1/tgrC1	expression vector
797	pQS45-tgrB1/tgrC1	expression vector
798	pAX4-tgrB1/tgrC1-bsR	"blasticidin resistance,expression vector"
		
		
799	pQS4-tgrB1/tgrC1-bsR	
800	pQS31-tgrB1/tgrC1-bsR	
806	pDox-alpha-cateninhp	"neomycin resistance,expression vector,extrachromosomal vector"
807	pGST-Aardvark	"neomycin resistance,expression vector,extrachromosomal vector"
808	pmRFP-dcsA	"RFP marker,hygromycin resistance,expression vector; extrachromosomal vector"
812	pTX-NLS-Cre	"neomycin resistance,expression vector,extrachromosomal vector,cre-loxP vector"
560	pDM414	"expression vector,extrachromosomal vector,gateway vector,act15 promoter"
835	pDdPlum	"blasticidin resistance,expression vector,act15 promoter"
836	pSFGFP	"blasticidin resistance,expression vector,act15 promoter"
837	pDdDendra2	"blasticidin resistance,expression vector,act15 promoter"
838	pDdCherry-mRFP	"neomycin resistance,expression vector,act15 promoter"
831	pTIKL-LMBD2B	"neomycin resistance,expression vector,extrachromosomal vector,act15 promoter"
832	pG3-C129	
833	pKL5	"cre-loxP vector,blasticidin resistance,TAP tag,expression vector"
834	pKL4	"TAP tag,expression vector"
182	V/A6-gal	"act6 promoter,expression vector"
45	pMB38	"act15 promoter,blasticidin resistance,tet on/off vector"
828	pDM368	"expression vector,extrachromosomal vector,gateway vector"
830	pSma-KO	"blasticidin resistance,knockout vector,cre-loxP vector,extrachromosomal vector"
269	pDdGal-17 (H<sup>-</sup>)	"galactosidase marker,neomycin resistance,expression vector,act15 promoter"
542	pDM321	"TAP tag,neomycin resistance,expression vector,extrachromosomal vector,act6 promoter,act15 promoter"
557	pDM411	"RFP marker,expression vector,extrachromosomal vector,gateway vector,act15 promoter"
562	pDM131	"RFP marker,expression vector,extrachromosomal vector"
819	pGSTBAR	"blasticidin resistance,expression vector,GST tag"
822	"pLMBD2B-ko	"	"blasticidin resistance,knockout vector,REMI vector"
827	pGEM3+bsr	"blasticidin resistance,REMI vector,act15 promoter"
802	pRFP-GFP-Atg8	
809	pGolvesin-delta(76-118)-GFP	"GFP marker,hygromycin resistance,expression vector,extrachromosomal vector"
810	pAct15-alpha-cateninhp	"neomycin resistance,expression vector,extrachromosomal vector,act15 promoter"
811	pGST-alpha-catenin	expression vector; extrachromosomal vector
813	pB17SDdDgcA-YFP	"YFP marker,neomycin resistance,expression vector,act15 promoter"
814	pDgcA-KO	"blasticidin resistance,knockout vector,act15 promoter"
816	pDM281	"luciferase marker,neomycin resistance,expression vector,extrachromosomal vector,tet on/off vector,act6 promoter,act15 promoter"
